2016-04-27 18:22:21,009 [1] INFO  Holly- [(null)] - [登录窗口]btnLogin_Click Begin...
2016-04-27 18:22:21,071 [1] INFO  Holly- [(null)] - [HollyContactHelper]ModifySoftphoneINIByDN——根据DN35197,选择的SIPServerIP为：192.168.112.205
2016-04-27 18:22:21,239 [1] INFO  Holly- [(null)] - [HollyContactHelper]用户操作==装载及初始化->True
2016-04-27 18:22:21,239 [1] INFO  Holly- [(null)] - [登录窗口]btnLogin_Click： 异步加载，回调事件中继续登录
2016-04-27 18:22:21,240 [1] INFO  Holly- [(null)] - [登录窗口]btnLogin_Click End
2016-04-27 18:22:21,299 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=AgentUser,UserGOR=9306113)程序状态(PS01_就绪)
2016-04-27 18:22:21,322 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=LSUser,UserGOR=65537)程序状态(PS01_就绪)
2016-04-27 18:22:21,379 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=ASUser,UserGOR=655361)程序状态(PS01_就绪)
2016-04-27 18:22:21,382 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=EDSUser,UserGOR=983041)程序状态(PS01_就绪)
2016-04-27 18:22:21,384 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=StatEvent,UserGOR=262145)程序状态(PS01_就绪)
2016-04-27 18:22:21,385 [1] INFO  Holly- [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=StatUser,UserGOR=262146)程序状态(PS01_就绪)
2016-04-27 18:22:21,386 [1] INFO  Holly- [(null)] - 当前调用Load函数，返回的服务器信息条数为：6
