2016-11-03 10:38:44,121 [1] INFO  Holly--[17416] [(null)] - [登录窗口]btnLogin_Click Begin...
2016-11-03 10:38:44,376 [1] INFO  Holly--[17416] [(null)] - [HollyContactHelper]ModifySoftphoneINIByDN——根据DN35197,选择的SIPServerIP为：192.168.112.205
2016-11-03 10:38:45,466 [1] INFO  Holly--[17416] [(null)] - [HollyContactHelper]用户操作==装载及初始化->True
2016-11-03 10:38:45,466 [1] INFO  Holly--[17416] [(null)] - [登录窗口]btnLogin_Click： 异步加载，回调事件中继续登录
2016-11-03 10:38:45,466 [1] INFO  Holly--[17416] [(null)] - [登录窗口]btnLogin_Click End
2016-11-03 10:38:45,532 [1] INFO  Holly--[17416] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=AgentUser,UserGOR=105447425)程序状态(PS01_就绪)
2016-11-03 10:38:45,555 [1] INFO  Holly--[17416] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=LSUser,UserGOR=65537)程序状态(PS01_就绪)
2016-11-03 10:38:45,614 [1] INFO  Holly--[17416] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=ASUser,UserGOR=1245185)程序状态(PS01_就绪)
2016-11-03 10:38:45,616 [1] INFO  Holly--[17416] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=EDSUser,UserGOR=1638401)程序状态(PS01_就绪)
2016-11-03 10:38:45,618 [1] INFO  Holly--[17416] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=StatEvent,UserGOR=851969)程序状态(PS01_就绪)
2016-11-03 10:38:45,620 [1] INFO  Holly--[17416] [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=StatUser,UserGOR=851970)程序状态(PS01_就绪)
