2015-06-30 11:43:12,174 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [HollyContactHelper]用户操作==装载及初始化->True
2015-06-30 11:43:12,314 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=AgentUser,UserGOR=7274497)程序状态(PS01_就绪)
2015-06-30 11:43:12,366 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=LSUser,UserGOR=65537)程序状态(PS01_就绪)
2015-06-30 11:43:12,421 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=EDSUser,UserGOR=1048577)程序状态(PS01_就绪)
2015-06-30 11:43:12,426 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=StatEvent,UserGOR=196609)程序状态(PS01_就绪)
2015-06-30 11:43:12,428 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=StatUser,UserGOR=196610)程序状态(PS01_就绪)
2015-06-30 11:43:12,495 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [@@@厂家消息通知@@@]OnMessage ：厂家状态(CurStatus：0；CurStatusName：准备就绪状态；)厂家消息(服务器已上线:UserName=ASUser,UserGOR=720897)程序状态(PS01_就绪)
2015-06-30 11:43:19,683 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [登录窗口]btnLogin_Click Begin...
2015-06-30 11:43:20,761 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [登录登出模块] Login(masj, pwd, 3001) Begin...
2015-06-30 11:43:20,763 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [登录登出模块] DomainAccountLogin(masj, pwd) begin...
2015-06-30 11:43:20,906 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [登录登出模块] DomainAccountLogin(masj, pwd) end.return BitAuto.Services.Organization.Remoting.Employee
2015-06-30 11:43:20,910 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [登录登出模块] InitLoginUser() Begin...
2015-06-30 11:43:43,558 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [登录登出模块] InitLoginUser() 坐席登录...AgentID is:10658,AgentNum is:1894,GroupName is:汽车金融服务部,OutNum is:2
2015-06-30 11:43:43,558 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [登录登出模块] InitLoginUser() End...
2015-06-30 11:43:47,902 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [登录窗口]btnLogin_Click End
2015-06-30 11:44:24,413 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [登录窗口]btnLogin_Click Begin...
2015-06-30 11:44:24,418 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [登录登出模块] Login(masj, pwd, 3001) Begin...
2015-06-30 11:44:24,418 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [登录登出模块] DomainAccountLogin(masj, pwd) begin...
2015-06-30 11:44:24,542 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [登录登出模块] DomainAccountLogin(masj, pwd) end.return BitAuto.Services.Organization.Remoting.Employee
2015-06-30 11:44:24,543 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [登录登出模块] InitLoginUser() Begin...
2015-06-30 11:44:24,689 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [登录登出模块] InitLoginUser() 坐席登录...AgentID is:10658,AgentNum is:1894,GroupName is:汽车金融服务部,OutNum is:2
2015-06-30 11:44:24,689 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [登录登出模块] InitLoginUser() End...
2015-06-30 11:44:28,209 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [登录窗口]btnLogin_Click End
2015-06-30 11:47:58,191 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [登录窗口]btnLogin_Click Begin...
2015-06-30 11:47:58,197 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [登录登出模块] Login(masj, pwd, 3001) Begin...
2015-06-30 11:47:58,197 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [登录登出模块] DomainAccountLogin(masj, pwd) begin...
2015-06-30 11:47:58,447 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [登录登出模块] DomainAccountLogin(masj, pwd) end.return BitAuto.Services.Organization.Remoting.Employee
2015-06-30 11:47:58,447 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [登录登出模块] InitLoginUser() Begin...
2015-06-30 11:47:58,736 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [登录登出模块] InitLoginUser() 坐席登录...AgentID is:10658,AgentNum is:1894,GroupName is:汽车金融服务部,OutNum is:92
2015-06-30 11:47:58,736 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [登录登出模块] InitLoginUser() End...
2015-06-30 11:47:59,013 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [HollyContactHelper]用户操作==添加技能组->1038 3
2015-06-30 11:47:59,677 [1] INFO  CC2015_HollyFormsApp.Loger [(null)] - [HollyContactHelper]用户操作==签入->False
