2018-03-21 09:50:11,065 [6] INFO  BaseLog [(null)] - OAuth2Controller>Index :https://open.weixin.qq.com/connect/oauth2/authorize?appid=wxf0eea6fec2756b45&redirect_uri=http%3A%2F%2Fwxtest-ct.qichedaquan.com%2Fapi%2FOAuth2%2FUserInfoCallback%3FreturnUrl%3Dhttp%3A%2F%2Fwxtest-ct.qichedaquan.com%2FmoneyManager%2Fmake_money.html%3Fchannel%3Dctlmcaidan&response_type=code&scope=snsapi_userinfo&state=ChiTu993&connect_redirect=1#wechat_redirect
2018-03-21 09:50:25,229 [5] INFO  BaseLog [(null)] - UserInfoCallback :http://wxtest-ct.qichedaquan.com/moneyManager/make_money.html?channel=ctlmcaidan
2018-03-21 09:50:25,233 [5] INFO  BaseLog [(null)] - UserInfoCallback :GetAccessToken开始，Code：0217P3FT0LrOiY1JRnFT0lEiFT07P3FE
2018-03-21 09:50:25,500 [5] INFO  BaseLog [(null)] - UserInfoCallback :GetAccessToken结束，Code：0217P3FT0LrOiY1JRnFT0lEiFT07P3FE
2018-03-21 09:50:25,611 [5] INFO  BaseLog [(null)] - 调用OAuthApi.Auth方法，参数access_token=7_XV1Z-y8hCF8s2PI1Zgk9XeGeFkE94rOnPQTTjJK942qDqeihcexaq37XcBLb3oB-MLN2C9_82_K5myGM_dO4pw,openid=ohvZzwIpMW_ROfDf7N9IvbdNrpHg,结果=ok
2018-03-21 09:50:25,853 [5] INFO  BaseLog [(null)] - 调用OAuthApi.GetUserInfo方法，参数access_token=7_XV1Z-y8hCF8s2PI1Zgk9XeGeFkE94rOnPQTTjJK942qDqeihcexaq37XcBLb3oB-MLN2C9_82_K5myGM_dO4pw,openid=ohvZzwIpMW_ROfDf7N9IvbdNrpHg,结果={"openid":"ohvZzwIpMW_ROfDf7N9IvbdNrpHg","nickname":"seay","sex":1,"province":"奥克兰","city":"","country":"新西兰","headimgurl":"http://thirdwx.qlogo.cn/mmopen/vi_32/Q0j4TwGTfTJ4TM16lK1RM4GbPuOD8jRyic0YE8kdWAAZI9feWTDfjtOBhfG6CNvNuLmwS5g2yjwIwm5DEVxafmg/132","privilege":["chinaunicom"],"unionid":"o_J_G0_aJx27xTqZeOGzunN1JB5A"}
2018-03-21 09:50:26,106 [5] INFO  BaseLog [(null)] - 调用Senparc.Weixin.MP.AdvancedAPIs.UserApi.Info方法，参数appId=wxf0eea6fec2756b45,openid=ohvZzwIpMW_ROfDf7N9IvbdNrpHg,结果={"subscribe":1,"openid":"ohvZzwIpMW_ROfDf7N9IvbdNrpHg","nickname":"seay","sex":1,"language":"zh_CN","city":"","province":"奥克兰","country":"新西兰","headimgurl":"http://thirdwx.qlogo.cn/mmopen/5pxmIbNO8heardmiaZ0saeaueGEyKnpWWIFkvqOS0nwxdHSq6qASxIcIn3jT5y13hP3Wy0UQDJib1FrELiapV456Y4M4vmBk3Js/132","subscribe_time":1521020314,"unionid":"o_J_G0_aJx27xTqZeOGzunN1JB5A","remark":"","groupid":0,"tagid_list":[],"errcode":0,"ErrorCodeValue":0,"errmsg":null,"P2PData":null}
2018-03-21 09:50:26,555 [5] INFO  BaseLog [(null)] - 调用 XYAuto.ITSC.Chitunion2017.BLL.WeChat.WeiXinUser.Instance.GetUnionAndUserId方法，参数openid=ohvZzwIpMW_ROfDf7N9IvbdNrpHg,结果={"OpenID":"ohvZzwIpMW_ROfDf7N9IvbdNrpHg","UnionID":"o_J_G0_aJx27xTqZeOGzunN1JB5A","UserID":1612}
2018-03-21 09:50:26,597 [5] INFO  BaseLog [(null)] - 调用XYAuto.ITSC.Chitunion2017.Common.UserInfo.Instance.Passport方法，参数UserID=1612,结果=fq0esYvUWd972wEauXMdHKw0OtpNIywRF3NC0ph/wlOEwwEEdAoDNNgLvyMBWVpNF5xEYe8ioPNpQiH3YHWNntS9/PPqz1Ov3nAuXHw1ArNQwQoP9Zd81phSiIXDYMwxuognGUlk0prn8gkxDr8aQ9wlc9AlnXQjuOQ8yJGS0cnXBSVvviFfTA/60g2r5JMU,URL=http://wxtest-ct.qichedaquan.com/moneyManager/make_money.html?channel=ctlmcaidan
2018-03-21 09:50:26,602 [5] INFO  BaseLog [(null)] - WeiXinVisvitBll AddWeiXinVisvitInfo 开始 UserID: 1612,URL=http://wxtest-ct.qichedaquan.com/moneyManager/make_money.html?channel=ctlmcaidan
2018-03-21 09:50:26,622 [5] INFO  BaseLog [(null)] - WeiXinVisvitBll AddWeiXinVisvitInfo UserID: 1612,URL=http://wxtest-ct.qichedaquan.com/moneyManager/make_money.html?channel=ctlmcaidan OK
