2018-02-06 18:42:06,493 [9] INFO  BaseLog [(null)] - 同步微信文章明细数据-----服务开始
2018-02-06 18:42:06,654 [9] INFO  BaseLog [(null)] - 同步文章数据-----开始
2018-02-06 18:42:06,655 [9] INFO  BaseLog [(null)] - 当前线程[9],同步微信文章数据 任务开始
2018-02-06 18:42:07,112 [9] INFO  BaseLog [(null)] - 当前线程[9],同步微信文章数据-----开始
2018-02-06 18:42:07,119 [9] INFO  BaseLog [(null)] - 调用存储过过程p_QueryArticleData，参数topNum=3，Resource=1，开始
2018-02-06 18:42:07,504 [9] INFO  BaseLog [(null)] - 调用存储过过程p_QueryArticleData，参数topNum=3，Resource=1，结束，调用耗时=385毫秒，结果返回条数为：0条记录
2018-02-06 18:42:07,504 [9] INFO  BaseLog [(null)] - 同步微信文章数据-----结束
2018-02-06 18:42:07,505 [9] INFO  BaseLog [(null)] - 当前线程[9],同步微信文章数据 任务完成 耗时：00:00:00.8497781
2018-02-06 18:42:07,506 [9] INFO  BaseLog [(null)] - 当前线程[9],同步微信文章数据，当前线程等待2秒
2018-02-06 18:42:09,511 [9] INFO  BaseLog [(null)] - 当前线程[9],同步微信文章数据 任务开始
2018-02-06 18:42:09,512 [9] INFO  BaseLog [(null)] - 当前线程[9],同步微信文章数据-----开始
2018-02-06 18:42:09,512 [9] INFO  BaseLog [(null)] - 调用存储过过程p_QueryArticleData，参数topNum=3，Resource=1，开始
2018-02-06 18:42:09,630 [9] INFO  BaseLog [(null)] - 调用存储过过程p_QueryArticleData，参数topNum=3，Resource=1，结束，调用耗时=117毫秒，结果返回条数为：0条记录
2018-02-06 18:42:09,640 [9] INFO  BaseLog [(null)] - 同步微信文章数据-----结束
2018-02-06 18:42:09,640 [9] INFO  BaseLog [(null)] - 当前线程[9],同步微信文章数据 任务完成 耗时：00:00:00.1278406
2018-02-06 18:42:09,640 [9] INFO  BaseLog [(null)] - 当前线程[9],同步微信文章数据，当前线程等待2秒
2018-02-06 18:42:11,640 [9] INFO  BaseLog [(null)] - 当前线程[9],同步微信文章数据 任务开始
2018-02-06 18:42:11,640 [9] INFO  BaseLog [(null)] - 当前线程[9],同步微信文章数据-----开始
2018-02-06 18:42:11,651 [9] INFO  BaseLog [(null)] - 调用存储过过程p_QueryArticleData，参数topNum=3，Resource=1，开始
2018-02-06 18:42:11,768 [9] INFO  BaseLog [(null)] - 调用存储过过程p_QueryArticleData，参数topNum=3，Resource=1，结束，调用耗时=116毫秒，结果返回条数为：0条记录
2018-02-06 18:42:11,768 [9] INFO  BaseLog [(null)] - 同步微信文章数据-----结束
2018-02-06 18:42:11,769 [9] INFO  BaseLog [(null)] - 当前线程[9],同步微信文章数据 任务完成 耗时：00:00:00.1289747
2018-02-06 18:42:11,777 [9] INFO  BaseLog [(null)] - 当前线程[9],同步微信文章数据，当前线程等待2秒
2018-02-06 18:42:13,796 [9] INFO  BaseLog [(null)] - 当前线程[9],同步微信文章数据 任务开始
2018-02-06 18:42:13,797 [9] INFO  BaseLog [(null)] - 当前线程[9],同步微信文章数据-----开始
2018-02-06 18:42:13,811 [9] INFO  BaseLog [(null)] - 调用存储过过程p_QueryArticleData，参数topNum=3，Resource=1，开始
2018-02-06 18:42:13,934 [9] INFO  BaseLog [(null)] - 调用存储过过程p_QueryArticleData，参数topNum=3，Resource=1，结束，调用耗时=122毫秒，结果返回条数为：0条记录
2018-02-06 18:42:13,936 [9] INFO  BaseLog [(null)] - 同步微信文章数据-----结束
2018-02-06 18:42:13,946 [9] INFO  BaseLog [(null)] - 当前线程[9],同步微信文章数据 任务完成 耗时：00:00:00.1493970
2018-02-06 18:42:13,967 [9] INFO  BaseLog [(null)] - 当前线程[9],同步微信文章数据，当前线程等待2秒
2018-02-06 18:42:15,977 [9] INFO  BaseLog [(null)] - 当前线程[9],同步微信文章数据 任务开始
2018-02-06 18:42:15,980 [9] INFO  BaseLog [(null)] - 当前线程[9],同步微信文章数据-----开始
2018-02-06 18:42:15,981 [9] INFO  BaseLog [(null)] - 调用存储过过程p_QueryArticleData，参数topNum=3，Resource=1，开始
2018-02-06 18:42:16,101 [9] INFO  BaseLog [(null)] - 调用存储过过程p_QueryArticleData，参数topNum=3，Resource=1，结束，调用耗时=120毫秒，结果返回条数为：0条记录
2018-02-06 18:42:16,103 [9] INFO  BaseLog [(null)] - 同步微信文章数据-----结束
2018-02-06 18:42:16,103 [9] INFO  BaseLog [(null)] - 当前线程[9],同步微信文章数据 任务完成 耗时：00:00:00.1238288
2018-02-06 18:42:16,104 [9] INFO  BaseLog [(null)] - 当前线程[9],同步微信文章数据，当前线程等待2秒
2018-02-06 18:42:18,104 [9] INFO  BaseLog [(null)] - 当前线程[9],同步微信文章数据 任务开始
2018-02-06 18:42:18,114 [9] INFO  BaseLog [(null)] - 当前线程[9],同步微信文章数据-----开始
2018-02-06 18:42:18,132 [9] INFO  BaseLog [(null)] - 调用存储过过程p_QueryArticleData，参数topNum=3，Resource=1，开始
2018-02-06 18:42:18,251 [9] INFO  BaseLog [(null)] - 调用存储过过程p_QueryArticleData，参数topNum=3，Resource=1，结束，调用耗时=118毫秒，结果返回条数为：0条记录
2018-02-06 18:42:18,261 [9] INFO  BaseLog [(null)] - 同步微信文章数据-----结束
2018-02-06 18:42:18,270 [9] INFO  BaseLog [(null)] - 当前线程[9],同步微信文章数据 任务完成 耗时：00:00:00.1564155
2018-02-06 18:42:18,276 [9] INFO  BaseLog [(null)] - 当前线程[9],同步微信文章数据，当前线程等待2秒
2018-02-06 18:42:20,278 [9] INFO  BaseLog [(null)] - 当前线程[9],同步微信文章数据 任务开始
2018-02-06 18:42:20,280 [9] INFO  BaseLog [(null)] - 当前线程[9],同步微信文章数据-----开始
2018-02-06 18:42:20,288 [9] INFO  BaseLog [(null)] - 调用存储过过程p_QueryArticleData，参数topNum=3，Resource=1，开始
2018-02-06 18:42:20,405 [9] INFO  BaseLog [(null)] - 调用存储过过程p_QueryArticleData，参数topNum=3，Resource=1，结束，调用耗时=117毫秒，结果返回条数为：0条记录
2018-02-06 18:42:20,411 [9] INFO  BaseLog [(null)] - 同步微信文章数据-----结束
2018-02-06 18:42:20,412 [9] INFO  BaseLog [(null)] - 当前线程[9],同步微信文章数据 任务完成 耗时：00:00:00.1318501
2018-02-06 18:42:20,416 [9] INFO  BaseLog [(null)] - 当前线程[9],同步微信文章数据，当前线程等待2秒
2018-02-06 18:42:22,427 [9] INFO  BaseLog [(null)] - 当前线程[9],同步微信文章数据 任务开始
2018-02-06 18:42:22,440 [9] INFO  BaseLog [(null)] - 当前线程[9],同步微信文章数据-----开始
2018-02-06 18:42:22,450 [9] INFO  BaseLog [(null)] - 调用存储过过程p_QueryArticleData，参数topNum=3，Resource=1，开始
2018-02-06 18:42:22,559 [9] INFO  BaseLog [(null)] - 调用存储过过程p_QueryArticleData，参数topNum=3，Resource=1，结束，调用耗时=109毫秒，结果返回条数为：0条记录
2018-02-06 18:42:22,567 [9] INFO  BaseLog [(null)] - 同步微信文章数据-----结束
2018-02-06 18:42:22,573 [9] INFO  BaseLog [(null)] - 当前线程[9],同步微信文章数据 任务完成 耗时：00:00:00.1333544
2018-02-06 18:42:22,581 [9] INFO  BaseLog [(null)] - 当前线程[9],同步微信文章数据，当前线程等待2秒
2018-02-06 18:42:24,592 [9] INFO  BaseLog [(null)] - 当前线程[9],同步微信文章数据 任务开始
2018-02-06 18:42:24,616 [9] INFO  BaseLog [(null)] - 当前线程[9],同步微信文章数据-----开始
2018-02-06 18:42:24,618 [9] INFO  BaseLog [(null)] - 调用存储过过程p_QueryArticleData，参数topNum=3，Resource=1，开始
2018-02-06 18:42:24,739 [9] INFO  BaseLog [(null)] - 调用存储过过程p_QueryArticleData，参数topNum=3，Resource=1，结束，调用耗时=120毫秒，结果返回条数为：0条记录
2018-02-06 18:42:24,761 [9] INFO  BaseLog [(null)] - 同步微信文章数据-----结束
2018-02-06 18:42:24,763 [9] INFO  BaseLog [(null)] - 当前线程[9],同步微信文章数据 任务完成 耗时：00:00:00.1468914
2018-02-06 18:42:24,763 [9] INFO  BaseLog [(null)] - 当前线程[9],同步微信文章数据，当前线程等待2秒
2018-02-06 18:42:26,764 [9] INFO  BaseLog [(null)] - 当前线程[9],同步微信文章数据 任务开始
2018-02-06 18:42:26,777 [9] INFO  BaseLog [(null)] - 当前线程[9],同步微信文章数据-----开始
2018-02-06 18:42:26,796 [9] INFO  BaseLog [(null)] - 调用存储过过程p_QueryArticleData，参数topNum=3，Resource=1，开始
2018-02-06 18:42:26,920 [9] INFO  BaseLog [(null)] - 调用存储过过程p_QueryArticleData，参数topNum=3，Resource=1，结束，调用耗时=124毫秒，结果返回条数为：0条记录
2018-02-06 18:42:26,936 [9] INFO  BaseLog [(null)] - 同步微信文章数据-----结束
2018-02-06 18:42:26,953 [9] INFO  BaseLog [(null)] - 当前线程[9],同步微信文章数据 任务完成 耗时：00:00:00.1759124
2018-02-06 18:42:26,970 [9] INFO  BaseLog [(null)] - 当前线程[9],同步微信文章数据，当前线程等待2秒
2018-02-06 18:44:25,162 [9] INFO  BaseLog [(null)] - 同步微信文章明细数据-----服务开始
2018-02-06 18:44:25,378 [9] INFO  BaseLog [(null)] - 同步文章数据-----开始
2018-02-06 18:44:25,379 [9] INFO  BaseLog [(null)] - 当前线程[9],同步微信文章数据 任务开始
2018-02-06 18:44:25,810 [9] INFO  BaseLog [(null)] - 当前线程[9],同步微信文章数据-----开始
2018-02-06 18:44:31,339 [9] INFO  BaseLog [(null)] - 调用存储过过程p_QueryArticleData，参数topNum=3，Resource=1，开始
2018-02-06 18:48:47,576 [9] INFO  BaseLog [(null)] - 调用存储过过程p_QueryArticleData，参数topNum=3，Resource=1，结束，调用耗时=256960毫秒，结果返回条数为：3条记录
2018-02-06 18:49:44,367 [9] INFO  BaseLog [(null)] - 当前线程[9],微信文章数据,目前循环到第1个，总共需要3条数据要清洗
2018-02-06 18:49:47,831 [9] INFO  BaseLog [(null)] - 本地化图片，URL[http://mmbiz.qpic.cn/mmbiz_jpg/gVKh6n51Xv6bqD25yKpB1yWrfMzPk8IHDnDakOFSPNy2cTRGFBaGwZ8BLpWVwMwPIuB9T37DbqW6cELh6ibgsHw/0?wx_fmt=jpeg]---------开始
2018-02-06 18:49:48,357 [9] ERROR BaseLog [(null)] - 同步微信文章数据，出错;
FastDFS.Client.FDFSException: Get Response Error,Error Code:28
   在 FastDFS.Client.FDFSRequest.GetResponse()
   在 FastDFS.Client.FastDFSClient.UploadFile(StorageNode storageNode, Byte[] contentByte, String fileExt)
   在 Xy.ImageFastDFS.StreamFastDFSAdapter.Upload()
   在 XYAuto.ITSC.Chitunion2017.HBaseDataSync.Util.CleanImg(Image img, String imgUrl) 位置 D:\GitRoot（C）\A5信息系统研发\销售业务管理平台\赤兔联盟系统\XYAuto.ITSC.Chitunion2017.HBaseDataSync\Util.cs:行号 707
   在 XYAuto.ITSC.Chitunion2017.HBaseDataSync.Util.CleanImg(String url) 位置 D:\GitRoot（C）\A5信息系统研发\销售业务管理平台\赤兔联盟系统\XYAuto.ITSC.Chitunion2017.HBaseDataSync\Util.cs:行号 770
   在 XYAuto.ITSC.Chitunion2017.HBaseDataSync.BusinessLL.ArticleInfo.SyncDataByWeixin(Int32 topNum) 位置 D:\GitRoot（C）\A5信息系统研发\销售业务管理平台\赤兔联盟系统\XYAuto.ITSC.Chitunion2017.HBaseDataSync\BusinessLL\ArticleInfo.cs:行号 85
2018-02-06 18:49:48,428 [9] INFO  BaseLog [(null)] - 同步微信文章数据-----结束
2018-02-06 18:49:48,428 [9] INFO  BaseLog [(null)] - 当前线程[9],同步微信文章数据 任务完成 耗时：00:05:23.0496092
2018-02-06 18:49:48,428 [9] INFO  BaseLog [(null)] - 当前线程[9],同步微信文章数据，当前线程等待2秒
2018-02-06 18:49:50,430 [9] INFO  BaseLog [(null)] - 当前线程[9],同步微信文章数据 任务开始
2018-02-06 18:49:50,432 [9] INFO  BaseLog [(null)] - 当前线程[9],同步微信文章数据-----开始
