2018-06-14 09:59:26,460 [10] INFO  BaseLog [(null)] - 统计微信数据-----服务开始
2018-06-14 10:00:36,402 [4] INFO  BaseLog [(null)] - 发送模板消息完成，appId=wxf0eea6fec2756b45,openId=ohvZzwIpMW_ROfDf7N9IvbdNrpHg,templateId=PE4oc5xDAMFaFPIIaD43GRop2-LXOs18-ezTAOHliBU,url=http://wxtest-ct.qichedaquan.com/activityManager/index.html, objData={"first":{"value":"恭喜您注册成功！今日特别送上3次抽奖机会，最高100%中奖，千元现金红包在等你！","color":"#173177"},"keyword1":{"value":"12345678901234567890123456789012","color":"#173177"},"keyword2":{"value":"2018-05-11 11:24:13","color":"#173177"},"remark":{"value":"抽奖机会将在今晚24点前失效，点击立即参与>>","color":"#173177"}},result={"msgid":324629049999638530,"errcode":0,"ErrorCodeValue":0,"errmsg":"ok","P2PData":null}
2018-06-14 10:00:39,476 [4] INFO  BaseLog [(null)] - 给用户UserID=1701,openid=ohvZzwIpMW_ROfDf7N9IvbdNrpHg,appid=wxf0eea6fec2756b45,tempID=PE4oc5xDAMFaFPIIaD43GRop2-LXOs18-ezTAOHliBU,tempName=注册成功通知,发送模板消息=成功
2018-06-14 10:01:09,968 [4] INFO  BaseLog [(null)] - 发送模板消息完成，appId=wxf0eea6fec2756b45,openId=ohvZzwDiVhUP0Tqo3R9-8_HGYjeg,templateId=PE4oc5xDAMFaFPIIaD43GRop2-LXOs18-ezTAOHliBU,url=http://wxtest-ct.qichedaquan.com/activityManager/index.html, objData={"first":{"value":"恭喜您注册成功！今日特别送上3次抽奖机会，最高100%中奖，千元现金红包在等你！","color":"#173177"},"keyword1":{"value":"三分苦咖啡","color":"#173177"},"keyword2":{"value":"2018-05-25 05:34:43","color":"#173177"},"remark":{"value":"抽奖机会将在今晚24点前失效，点击立即参与>>","color":"#173177"}},result={"msgid":324629614116765697,"errcode":0,"ErrorCodeValue":0,"errmsg":"ok","P2PData":null}
2018-06-14 10:01:09,968 [4] INFO  BaseLog [(null)] - 给用户UserID=1722,openid=ohvZzwDiVhUP0Tqo3R9-8_HGYjeg,appid=wxf0eea6fec2756b45,tempID=PE4oc5xDAMFaFPIIaD43GRop2-LXOs18-ezTAOHliBU,tempName=注册成功通知,发送模板消息=成功
2018-06-14 10:01:12,845 [4] INFO  BaseLog [(null)] - 发送模板消息完成，appId=wxf0eea6fec2756b45,openId=ohvZzwEibVOXvd_9nZ2UwBlWEzek,templateId=PE4oc5xDAMFaFPIIaD43GRop2-LXOs18-ezTAOHliBU,url=http://wxtest-ct.qichedaquan.com/activityManager/index.html, objData={"first":{"value":"恭喜您注册成功！今日特别送上3次抽奖机会，最高100%中奖，千元现金红包在等你！","color":"#173177"},"keyword1":{"value":"科波拉","color":"#173177"},"keyword2":{"value":"2018-06-04 10:04:08","color":"#173177"},"remark":{"value":"抽奖机会将在今晚24点前失效，点击立即参与>>","color":"#173177"}},result={"msgid":324629662653317126,"errcode":0,"ErrorCodeValue":0,"errmsg":"ok","P2PData":null}
2018-06-14 10:01:12,845 [4] INFO  BaseLog [(null)] - 给用户UserID=1725,openid=ohvZzwEibVOXvd_9nZ2UwBlWEzek,appid=wxf0eea6fec2756b45,tempID=PE4oc5xDAMFaFPIIaD43GRop2-LXOs18-ezTAOHliBU,tempName=注册成功通知,发送模板消息=成功
2018-06-14 10:01:12,984 [4] INFO  BaseLog [(null)] - 发送模板消息完成，appId=wxf0eea6fec2756b45,openId=ohvZzwIpMW_ROfDf7N9IvbdNrpHg,templateId=PE4oc5xDAMFaFPIIaD43GRop2-LXOs18-ezTAOHliBU,url=http://wxtest-ct.qichedaquan.com/activityManager/index.html, objData={"first":{"value":"恭喜您注册成功！今日特别送上3次抽奖机会，最高100%中奖，千元现金红包在等你！","color":"#173177"},"keyword1":{"value":"seay","color":"#173177"},"keyword2":{"value":"2018-06-13 05:33:23","color":"#173177"},"remark":{"value":"抽奖机会将在今晚24点前失效，点击立即参与>>","color":"#173177"}},result={"msgid":324629664565837826,"errcode":0,"ErrorCodeValue":0,"errmsg":"ok","P2PData":null}
2018-06-14 10:01:12,984 [4] INFO  BaseLog [(null)] - 给用户UserID=1742,openid=ohvZzwIpMW_ROfDf7N9IvbdNrpHg,appid=wxf0eea6fec2756b45,tempID=PE4oc5xDAMFaFPIIaD43GRop2-LXOs18-ezTAOHliBU,tempName=注册成功通知,发送模板消息=成功
2018-06-14 10:01:13,191 [4] INFO  BaseLog [(null)] - 发送模板消息完成，appId=wxf0eea6fec2756b45,openId=ohvZzwFEuaH4Cr2H-XKHhRNCmjsU,templateId=kq9axyB6oKNKm6SSfuMVu5bD19oSbNjUewfFtUyUlgM,url=http://wxtest-ct.qichedaquan.com/index.html, objData={"first":{"value":"灿灿，您昨日的任务收益已到账，可在【收益】页面查看哦！","color":"#173177"},"keyword1":{"value":"昨日","color":"#173177"},"keyword2":{"value":"1.00元","color":"#173177"},"keyword3":{"value":"赤兔联盟","color":"#173177"},"remark":{"value":"今日奖励已经为您奉上！参与抽奖最高可获千元现金，赶紧领取>>","color":"#173177"}},result={"msgid":324629668105846784,"errcode":0,"ErrorCodeValue":0,"errmsg":"ok","P2PData":null}
2018-06-14 10:01:13,191 [4] INFO  BaseLog [(null)] - 给用户UserID=1745,openid=ohvZzwFEuaH4Cr2H-XKHhRNCmjsU,appid=wxf0eea6fec2756b45,tempID=kq9axyB6oKNKm6SSfuMVu5bD19oSbNjUewfFtUyUlgM,tempName=收益到账提醒,发送模板消息=成功
